,index,0
344,mh370,67
108,terrorismism,27
938,funtenna,17
865,bayelsa,17
1176,mediterran,8
932,linkury,7
648,150401,6
950,sinjar,6
73,kisii,6
384,rohingya,6
296,dorret,6
603,sittwe,5
1482,kerrick,5
15,murtala,5
1327,naved,5
1143,yobe,5
340,mansehra,5
299,episody,5
1223,detectado,4
773,waimate,4
951,yazidis,4
589,haiyan,4
21,t48,4
1042,amag,4
1426,karymsky,4
527,shantae,4
826,zouma,4
654,6aug,4
1423,0150401,4
109,8whts,3
1078,fennovoima,3
959,bluedio,3
958,yazidi,3
1084,bb4sp,3
110,idis,3
364,navbl,3
24,yugvani,3
924,humaza,3
157,aretweet,3
854,lretweet,3
908,offers2go,3
477,saddlebrooke,3
215,daesh,2
378,429cj,2
224,icymi,2
709,efak,2
1422,aogashima,2
613,gawx,2
1420,raung,2
712,glink,2
1174,c4news,2
716,zabadani,2
483,achimota,2
220,dambisa,2
374,jhaustin,2
575,losdelsonido,2
576,ivanberroa,2
703,laughterlapalooza,2
1055,magner,2
1344,1038pm,2
650,001116,2
653,06jst,2
181,offooo,2
913,pdx911,2
324,foretweet,2
318,walerga,2
909,multidimension,2
327,techesback,2
665,pakpattan,2
643,015025,2
1205,chonce,2
673,nankana,2
1367,eudrylantiqua,2
150,iclown,2
1330,pulwama,2
339,muzzamil,2
1328,metrofmtalk,2
141,laughterol,2
636,235409,2
635,renison,2
634,175225,2
633,005225,2
884,japton,2
128,dmpl,2
359,dothraki,2
937,softenza,2
179,s2g,2
1425,sixpenceee,2
1427,volcanoinrussia,2
1288,suruc,2
53,rretweet,2
757,wftv,2
242,fitnessl,2
46,211023,2
44,popularmmos,2
86,notley,2
245,skanndtyagi,2
764,macia,2
282,ruebs,2
36,dieplease,2
563,ks94,2
814,sms087809233445,2
1475,ekiti,2
966,renew911health,2
1129,amageddon,2
1481,ushed,2
778,hiroshima70,2
20,wedn,2
1254,marketforce,2
780,whitbourne,2
17,xb1,2
259,standwith,2
12,horndale,2
11,piner,2
803,politifiact,2
785,vabengal,2
427,kowing,2
754,wpri,2
244,hermancranston,2
651,161116,2
237,wmur9,2
844,servicethe,2
739,gmmbc,2
606,12news,2
1154,njenga,2
555,thisiswhywecanthavenicethings,2
604,ihhen,2
612,scwx,2
735,versethe,2
728,schwarber,2
1429,utc5,2
82,isil,2
1451,rapidcity,2
558,marquei,2
1428,fieg,2
401,cawx,2
1,inec,2
984,follownflnews,1
1018,auspol,1
1016,shawie17shawie,1
